question_text;first_answer;second_answer;third_answer;fourth_answer;score;correct_answer;test_id
1. Что используется для указания языка документа?;<lang>;<language>;<html>;lang;1;4;1
2. Какой тег используется для создания ссылок?;<link>;<a href="">;<a>;<ref>;1;3;1
3. Что используется для создания абзацев?;<br>;<p>;<paragraph>;<para>;1;2;1
4. Какой атрибут указывает адрес, на который ссылается ссылка?;hyperlink;url;href;link;1;3;1
5. Какой тег используется для создания изображений?;<img>;<image>;<picture>;<i>;1;1;1
6. Какой тег используется для создания упорядоченного списка?;<li>;<list>;<ol>;<ul>;1;3;1
1. Что такое CSS?;Язык программирования;Язык описания внешнего вида документа;Язык запросов;Язык разметки;1;2;2
2. Какие селекторы используются для применения стилей к группе элементов с общим классом?;ID селекторы;Элементные селекторы;Комбинированные селекторы;Классовые селекторы;1;4;2
3. Что определяется в CSS свойствах стилей?;Поведение элементов;Отображение элементов;Доступность элементов;Семантика элементов;1;2;2
4. Что обозначает термин "каскадность" в CSS?;Возможность наследования стилей;Порядок применения стилей к элементам;Возможность применения множества стилей к элементу;Способность селекторов повлиять на несколько элементов сразу;1;1;2
5. Какие свойства CSS позволяют позиционировать элементы на веб-странице?;align;move;position;flow;1;3;2
6. Какие элементы в CSS позволяют добавлять стили к элементам в зависимости от их состояния?;Продолженные элементы;Дополнительные элементы;Псевдоэлементы;Расширенные элементы;1;3;2



